file speaker set vowel vheight vlength coda nucl_dur coda_dur
43_EXIST_prayer_S_PREP_place_SQDEM1_02 43 LAM a open vv nasal 0.1019 0.0740
43_EXIST_rope_SQPERTP_people_P_01 43 THOL O halfopen vvv lateral 0.1341 0.0670
43_EXIST_rope_SQPERTP_people_P_02 43 THOL O halfopen vvv lateral 0.1316 0.0613
43_EXIST_rope_S_PREP_place_SQDEM1_01 43 THOL O halfopen vv lateral 0.1038 0.0469
43_EXIST_separateintounits_DVNAQPERTP_people_P_01 43 KEL E halfopen vvv lateral 0.1248 0.1007
43_EXIST_separateintounits_DVNAQPERTP_people_P_02 43 KEL E halfopen vvv lateral 0.1565 0.1002
43_EXIST_separateintounits_DVNA_PREP_place_SQDEM1_01 43 KEL E halfopen vv lateral 0.1094 0.0878
43_EXIST_separateintounits_DVNA_PREP_place_SQDEM1_02 43 KEL E halfopen vv lateral 0.1221 0.0864
43_EXIST_stabinsacrifice_DVNA_PREP_place_SQDEM1_01 43 GUT u closed v plosive 0.0698 0.1196
43_EXIST_stabinsacrifice_DVNA_PREP_place_SQDEM1_02 43 GUT u closed v plosive 0.0669 0.0639
43_EXIST_surgeryknife_SQPERTP_people_P_01 43 PAL a open vvv lateral 0.1553 0.0790
43_EXIST_surgeryknife_SQPERTP_people_P_02 43 PAL a open vvv lateral 0.1497 0.0788
43_EXIST_surgeryknife_S_PREP_place_SQDEM1_01 43 PAL a open vv lateral 0.1224 0.0821
43_EXIST_surgeryknife_S_PREP_place_SQDEM1_02 43 PAL a open vv lateral 0.1158 0.0598
43_EXIST_takeout_DVNA_PREP_place_SQDEM1_01 43 KOL O halfopen v lateral 0.0685 0.0809
43_EXIST_takeout_DVNA_PREP_place_SQDEM1_02 43 KOL O halfopen v lateral 0.0694 0.0920
43_EXIST_throw_DVNAQPERTP_people_P_01 43 LEN E halfopen vvv nasal 0.1438 0.0880
43_EXIST_throw_DVNAQPERTP_people_P_02 43 LEN E halfopen vvv nasal 0.1342 0.0862
43_EXIST_throw_DVNA_PREP_place_SQDEM1_01 43 LEN E halfopen vv nasal 0.1239 0.0577
43_EXIST_throw_DVNA_PREP_place_SQDEM1_02 43 LEN E halfopen vv nasal 0.1212 0.0539
44_EXIST_dodge_DVNA_PREP_place_SQDEM1_01 44 PAL a open v lateral 0.0663 0.1278
44_EXIST_drum_DVNA_PREP_place_SQDEM1_01 44 LEN E halfopen v nasal 0.0737 0.1051
44_EXIST_drum_DVNA_PREP_place_SQDEM1_02 44 LEN E halfopen v nasal 0.0873 0.0995
44_EXIST_eatunripegrain_DVNA_PREP_place_SQDEM1_01 44 THOL O halfopen v lateral 0.0686 0.1068
44_EXIST_herdaway_DVNAQPERTP_people_P_01 44 KOL O halfopen vvv lateral 0.1396 0.0929
44_EXIST_herdaway_DVNAQPERTP_people_P_02 44 KOL O halfopen vvv lateral 0.1347 0.1193
44_EXIST_herdaway_DVNA_PREP_place_SQDEM1_01 44 KOL O halfopen vv lateral 0.1095 0.1365
44_EXIST_herdaway_DVNA_PREP_place_SQDEM1_02 44 KOL O halfopen vv lateral 0.1009 0.1260
44_EXIST_kindofrodent_SQPERTP_people_P_01 44 DUP u closed vvv plosive 0.1850 0.0733
44_EXIST_kindofrodent_SQPERTP_people_P_02 44 DUP u closed vvv plosive 0.1752 0.0932
44_EXIST_kindofrodent_S_PREP_place_SQDEM1_01 44 DUP u closed vv plosive 0.1165 0.1478
44_EXIST_kindofrodent_S_PREP_place_SQDEM1_02 44 DUP u closed vv plosive 0.0962 0.1257
44_EXIST_messup_DVNA_PREP_place_SQDEM1_01 44 DUP u closed v plosive 0.0721 0.1218
44_EXIST_messup_DVNA_PREP_place_SQDEM1_02 44 DUP u closed v plosive 0.0867 0.1106
44_EXIST_navel_SQPERTP_people_P_01 44 GUT u closed vvv plosive 0.1570 0.1404
44_EXIST_navel_SQPERTP_people_P_02 44 GUT u closed vvv plosive 0.1405 0.1296
44_EXIST_navel_S_PREP_place_SQDEM1_01 44 GUT u closed vv plosive 0.1059 0.0895
44_EXIST_navel_S_PREP_place_SQDEM1_02 44 GUT u closed vv plosive 0.1000 0.0743
44_EXIST_peelwteeth_DVNA_PREP_place_SQDEM1_01 44 KEL E halfopen v lateral 0.0596 0.1715
44_EXIST_peelwteeth_DVNA_PREP_place_SQDEM1_02 44 KEL E halfopen v lateral 0.0589 0.1656
44_EXIST_pray_DVNAQPERTP_people_P_01 44 LAM a open vvv nasal 0.1823 0.1486
44_EXIST_pray_DVNAQPERTP_people_P_02 44 LAM a open vvv nasal 0.1943 0.1391
44_EXIST_pray_DVNA_PREP_place_SQDEM1_01 44 LAM a open v nasal 0.0743 0.1078
44_EXIST_prayer_S_PREP_place_SQDEM1_01 44 LAM a open vv nasal 0.1161 0.1161
44_EXIST_prayer_S_PREP_place_SQDEM1_02 44 LAM a open vv nasal 0.1157 0.0941
44_EXIST_rope_SQPERTP_people_P_01 44 THOL O halfopen vvv lateral 0.1648 0.1264
44_EXIST_rope_S_PREP_place_SQDEM1_01 44 THOL O halfopen vv lateral 0.1200 0.1019
44_EXIST_rope_S_PREP_place_SQDEM1_02 44 THOL O halfopen vv lateral 0.1226 0.0985
44_EXIST_separateintounits_DVNAQPERTP_people_P_01 44 KEL E halfopen vvv lateral 0.1490 0.1911
44_EXIST_separateintounits_DVNAQPERTP_people_P_02 44 KEL E halfopen vvv lateral 0.1455 0.1936
44_EXIST_separateintounits_DVNA_PREP_place_SQDEM1_01 44 KEL E halfopen vv lateral 0.0937 0.1172
44_EXIST_separateintounits_DVNA_PREP_place_SQDEM1_02 44 KEL E halfopen vv lateral 0.1128 0.1196
44_EXIST_stabinsacrifice_S_PREP_place_SQDEM1_01 44 GUT u closed v plosive 0.0651 0.1124
44_EXIST_stabinsacrifice_S_PREP_place_SQDEM1_02 44 GUT u closed v plosive 0.0718 0.1288
44_EXIST_surgeryknife_SQPERTP_people_P_01 44 PAL a open vvv lateral 0.1718 0.1134
44_EXIST_surgeryknife_SQPERTP_people_P_02 44 PAL a open vvv lateral 0.1713 0.1072
44_EXIST_surgeryknife_S_PREP_place_SQDEM1_01 44 PAL a open vv lateral 0.1147 0.1207
44_EXIST_surgeryknife_S_PREP_place_SQDEM1_02 44 PAL a open vv lateral 0.1107 0.1239
44_EXIST_takeout_DVNA_PREP_place_SQDEM1_01 44 KOL O halfopen v lateral 0.0605 0.1153
44_EXIST_takeout_DVNA_PREP_place_SQDEM1_02 44 KOL O halfopen v lateral 0.0684 0.1332
44_EXIST_throw_DVNAQPERTP_people_P_01 44 LEN E halfopen vvv nasal 0.1840 0.1064
44_EXIST_throw_DVNA_PREP_place_SQDEM1_02 44 LEN E halfopen vv nasal 0.1258 0.0941
45_EXIST_dodge_DVNA_PREP_place_SQDEM1_01 45 PAL a open v lateral 0.0665 0.0950
45_EXIST_dodge_DVNA_PREP_place_SQDEM1_02 45 PAL a open v lateral 0.0620 0.0948
45_EXIST_drum_DVNA_PREP_place_SQDEM1_01 45 LEN E halfopen v nasal 0.0646 0.1037
45_EXIST_eatunripegrain_DVNA_PREP_place_SQDEM1_01 45 THOL O halfopen v lateral 0.0819 0.0954
45_EXIST_eatunripegrain_DVNA_PREP_place_SQDEM1_02 45 THOL O halfopen v lateral 0.0729 0.0951
45_EXIST_herdaway_DVNAQPERTP_people_P_01 45 KOL O halfopen vvv lateral 0.1361 0.1162
45_EXIST_herdaway_DVNAQPERTP_people_P_02 45 KOL O halfopen vvv lateral 0.1320 0.1131
45_EXIST_herdaway_DVNAQPERTP_people_P_03 45 KOL O halfopen vvv lateral 0.1466 0.1075
45_EXIST_herdaway_DVNA_PREP_place_SQDEM1_01 45 KOL O halfopen vv lateral 0.1038 0.0984
45_EXIST_herdaway_DVNA_PREP_place_SQDEM1_02 45 KOL O halfopen vv lateral 0.0939 0.0853
45_EXIST_kindofrodent_SQPERTP_people_P_01 45 DUP u closed vvv plosive 0.1225 0.0712
45_EXIST_kindofrodent_S_PREP_place_SQDEM1_01 45 DUP u closed vv plosive 0.0940 0.0518
45_EXIST_kindofrodent_S_PREP_place_SQDEM1_02 45 DUP u closed vv plosive 0.0714 0.0540
45_EXIST_messup_DVNA_PREP_place_SQDEM1_01 45 DUP u closed v plosive 0.0381 0.1080
45_EXIST_messup_DVNA_PREP_place_SQDEM1_02 45 DUP u closed v plosive 0.0487 0.1164
45_EXIST_messup_DVNA_PREP_place_SQDEM1_03 45 DUP u closed v plosive 0.0546 0.0942
45_EXIST_navel_SQPERTP_people_P_01 45 GUT u closed vvv plosive 0.1187 0.0619
45_EXIST_navel_S_PREP_place_SQDEM1_01 45 GUT u closed vv plosive 0.0831 0.0697
45_EXIST_peelwteeth_DVNA_PREP_place_SQDEM1_01 45 KEL E halfopen v lateral 0.0640 0.1244
45_EXIST_peelwteeth_DVNA_PREP_place_SQDEM1_02 45 KEL E halfopen v lateral 0.0567 0.0922
45_EXIST_pray_DVNAQPERTP_people_P_01 45 LAM a open vvv nasal 0.1267 0.1201
45_EXIST_pray_DVNAQPERTP_people_P_02 45 LAM a open vvv nasal 0.1252 0.1066
45_EXIST_pray_DVNA_PREP_place_SQDEM1_01 45 LAM a open v nasal 0.0495 0.1022
45_EXIST_pray_DVNA_PREP_place_SQDEM1_02 45 LAM a open v nasal 0.0535 0.1005
45_EXIST_prayer_S_PREP_place_SQDEM1_01 45 LAM a open vv nasal 0.1138 0.1372
45_EXIST_rope_SQPERTP_people_P_01 45 THOL O halfopen vvv lateral 0.1356 0.0946
45_EXIST_rope_S_PREP_place_SQDEM1_01 45 THOL O halfopen vv lateral 0.1137 0.0795
45_EXIST_separateintounits_DVNAQPERTP_people_P_01 45 KEL E halfopen vvv lateral 0.1408 0.1246
45_EXIST_separateintounits_DVNA_PREP_place_SQDEM1_01 45 KEL E halfopen vv lateral 0.1068 0.1209
45_EXIST_separateintounits_DVNA_PREP_place_SQDEM1_02 45 KEL E halfopen vv lateral 0.0988 0.0857
45_EXIST_stabinsacrifice_DVNA_PREP_place_SQDEM1_01 45 GUT u closed v plosive 0.0573 0.1135
45_EXIST_stabinsacrifice_DVNA_PREP_place_SQDEM1_02 45 GUT u closed v plosive 0.0525 0.1010
45_EXIST_surgeryknife_SQPERTP_people_P_01 45 PAL a open vvv lateral 0.1524 0.1203
45_EXIST_surgeryknife_S_PREP_place_SQDEM1_01 45 PAL a open vv lateral 0.0982 0.0539
45_EXIST_surgeryknife_S_PREP_place_SQDEM1_02 45 PAL a open vv lateral 0.1104 0.0795
45_EXIST_takeout_DVNA_PREP_place_SQDEM1_01 45 KOL O halfopen v lateral 0.0577 0.1024
45_EXIST_takeout_DVNA_PREP_place_SQDEM1_02 45 KOL O halfopen v lateral 0.0516 0.0735
45_EXIST_throw_DVNAQPERTP_people_P_01 45 LEN E halfopen vvv nasal 0.1512 0.1248
45_EXIST_throw_DVNAQPERTP_people_P_02 45 LEN E halfopen vvv nasal 0.1376 0.1092
45_EXIST_throw_DVNAQPERTP_people_P_03 45 LEN E halfopen vvv nasal 0.1365 0.1133
45_EXIST_throw_DVNA_PREP_place_SQDEM1_01 45 LEN E halfopen vv nasal 0.1146 0.0719
45_EXIST_throw_DVNA_PREP_place_SQDEM1_02 45 LEN E halfopen vv nasal 0.1223 0.0651
